Name,Postcode,Latitude,Longitude
School_2231,UB10 0PH,51.53144371,-0.450723234
School_2604,UB8 3QU,51.52428041,-0.466029642
School_2605,UB8 3NW,51.52777669,-0.466589766
School_2868,UB8 2PR,51.53697569,-0.472783278
School_2958,UB8 3RF,51.5325054,-0.459640364
School_370,SE5 8SN,51.4703669,-0.088107092
School_384,SE5 8UH,51.47484469,-0.078171062
School_390,SE5 7TF,51.48039498,-0.084317767
School_599,N14 5DU,51.63023766,-0.148118754
School_601,EN4 8NN,51.63527749,-0.159242875
School_619,N14 5NG,51.63675572,-0.146321277
School_641,N11 1NQ,51.6162378,-0.14421121
School_659,N14 5HD,51.63398551,-0.134931656
School_2805,N14 5RJ,51.63014956,-0.13290732
School_3066,N11 1NP,51.62516968,-0.152919584
School_4000,SE15 6EF,51.48027687,-0.082594505
School_535,W1H 5HA,51.51681072,-0.164427412
School_540,NW1 6LH,51.52333199,-0.165678669
School_548,W1H 1DL,51.52042185,-0.163028082
School_3309,W1H 5YZ,51.517151,-0.162612043
School_3615,NW1 6LG,51.52421096,-0.166681257
School_3797,NW1 6XR,51.52467745,-0.160290713
School_3806,W1H 5YZ,51.517151,-0.162612043
School_4012,NW1 6LG,51.52421096,-0.166681257
School_4068,W1H 5AU,51.51557259,-0.161738751
School_1454,IG9 6DS,51.62477704,0.052567098
School_1456,IG9 5RX,51.62924546,0.033493495
School_3471,IG9 5SD,51.63132406,0.035493853
School_3473,IG9 5NH,51.62734192,0.03592242
School_3474,IG9 5LG,51.62696845,0.03723496
School_3908,IG9 5SD,51.63132406,0.035493853
School_182,EC1V 8BB,51.5283998,-0.099329462
School_192,EC1Y 8JA,51.52167513,-0.093353469
School_201,EC1V 3SJ,51.5265704,-0.091894632
School_204,EC1V 0EU,51.52483632,-0.10084745
School_2469,EC2A 4SH,51.5252574,-0.085822664
School_3231,EC1M 7AJ,51.52224241,-0.097827315
School_3232,EC1V 0BW,51.52464129,-0.100466336
School_3752,EC1M 7AJ,51.52224241,-0.097827315
School_2953,SL1 7HG,51.53239391,-0.652118747
School_2982,SL1 7LZ,51.52860086,-0.661687624
School_595,HA8 0DA,51.60074239,-0.264620803
School_614,HA8 0HA,51.60408564,-0.257200866
School_646,HA8 0HQ,51.60277134,-0.260139217
School_1751,HA8 0QS,51.60791667,-0.263914596
School_1867,HA8 0QF,51.60863367,-0.252824279
School_3818,HA8 0QS,51.60791667,-0.263914596
School_1464,CM11 2UB,51.61050344,0.440358196
School_880,N13 5QP,51.62391887,-0.082786714
School_892,EN1 2RG,51.63697073,-0.072032881
School_893,EN1 2NS,51.63661201,-0.072640618
School_1483,WD23 1SP,51.63687682,-0.341320963
School_1534,WD23 1SJ,51.63107272,-0.342313077
School_3496,WD23 4EB,51.64107642,-0.33434618
